ILCE_NO,ILCE_ADI
1,ALADA–
2,CEYHAN
3,«UKUROVA
4,FEKE
5,›MAMO–LU
6,KARA›SALI
7,KARATAﬁ
8,KOZAN
9,POZANTI
10,SA›MBEYL›
11,SARI«AM
12,SEYHAN
13,TUFANBEYL›
14,YUMURTALIK
15,Y‹RE–›R
16,BESN›
17,«EL›KHAN
18,GERGER
19,G÷LBAﬁI
20,KAHTA
21,SAMSAT
22,S›NC›K
23,TUT
24,BAﬁMAK«I
25,BAYAT
26,BOLVAD›N
27,«AY
28,«OBANLAR
29,DAZKIRI
30,D›NAR
31,EM›RDA–
32,EVC›LER
33,HOCALAR
34,›HSAN›YE
35,›SCEH›SAR
36,KIZIL÷REN
37,SANDIKLI
38,S›NANPAﬁA
39,SULTANDA–I
40,ﬁUHUT
41,D›YAD›N
42,DO–UBAYAZIT
43,ELEﬁK›RT
44,HAMUR
45,PATNOS
46,TAﬁLI«AY
47,TUTAK
48,G÷YN‹CEK
49,G‹M‹ﬁHACIK÷Y
50,HAMAM÷Z‹
51,MERZ›FON
52,SULUOVA
53,TAﬁOVA
54,AKYURT
55,ALTINDA–
56,AYAﬁ
57,BALA
58,BEYPAZARI
59,«AMLIDERE
60,«ANKAYA
61,«UBUK
62,ELMADA–
63,ET›MESGUT
64,EVREN
65,G÷LBAﬁI
66,G‹D‹L
67,HAYMANA
68,KAHRAMANKAZAN
69,KALEC›K
70,KE«›÷REN
71,KIZILCAHAMAM
72,MAMAK
73,NALLIHAN
74,POLATLI
75,PURSAKLAR
76,S›NCAN
77,ﬁEREFL›KO«H›SAR
78,YEN›MAHALLE
79,AKSEK›
80,AKSU
81,ALANYA
82,DEMRE
83,D÷ﬁEMEALTI
84,ELMALI
85,F›N›KE
86,GAZ›PAﬁA
87,G‹NDO–MUﬁ
88,›BRADI
89,KAﬁ
90,KEMER
91,KEPEZ
92,KONYAALTI
93,KORKUTEL›
94,KUMLUCA
95,MANAVGAT
96,MURATPAﬁA
97,SER›K
98,ARDANU«
99,ARHAV›
100,BOR«KA
101,HOPA
102,KEMALPAﬁA
103,MURGUL
104,ﬁAVﬁAT
105,YUSUFEL›
106,BOZDO–AN
107,BUHARKENT
108,«›NE
109,D›D›M
110,EFELER
111,GERMENC›K
112,›NC›RL›OVA
113,KARACASU
114,KARPUZLU
115,KO«ARLI
116,K÷ﬁK
117,KUﬁADASI
118,KUYUCAK
119,NAZ›LL›
120,S÷KE
121,SULTANH›SAR
122,YEN›PAZAR
123,ALTIEYL‹L
124,AYVALIK
125,BALYA
126,BANDIRMA
127,B›GAD›«
128,BURHAN›YE
129,DURSUNBEY
130,EDREM›T
131,ERDEK
132,G÷ME«
133,G÷NEN
134,HAVRAN
135,›VR›ND›
136,KARES›
137,KEPSUT
138,MANYAS
139,MARMARA
140,SAVAﬁTEPE
141,SINDIRGI
142,SUSURLUK
143,BOZ‹Y‹K
144,G÷LPAZARI
145,›NH›SAR
146,OSMANEL›
147,PAZARYER›
148,S÷–‹T
149,YEN›PAZAR
150,ADAKLI
151,GEN«
152,KARLIOVA
153,K›–I
154,SOLHAN
155,YAYLADERE
156,YED›SU
157,AD›LCEVAZ
158,AHLAT
159,G‹ROYMAK
160,H›ZAN
161,MUTK›
162,TATVAN
163,D÷RTD›VAN
164,GEREDE
165,G÷YN‹K
166,KIBRISCIK
167,MENGEN
168,MUDURNU
169,SEBEN
170,YEN›«A–A
171,A–LASUN
172,ALTINYAYLA
173,BUCAK
174,«AVDIR
175,«ELT›K«›
176,G÷LH›SAR
177,KARAMANLI
178,KEMER
179,TEFENN›
180,YEﬁ›LOVA
181,B‹Y‹KORHAN
182,GEML›K
183,G‹RSU
184,HARMANCIK
185,›NEG÷L
186,›ZN›K
187,KARACABEY
188,KELES
189,KESTEL
190,MUDANYA
191,MUSTAFAKEMALPAﬁA
192,N›L‹FER
193,ORHANEL›
194,ORHANGAZ›
195,OSMANGAZ›
196,YEN›ﬁEH›R
197,YILDIRIM
198,AYVACIK
199,BAYRAM›«
200,B›GA
201,BOZCAADA
202,«AN
203,ECEABAT
204,EZ›NE
205,GEL›BOLU
206,G÷K«EADA
207,LAPSEK›
208,YEN›CE
209,ATKARACALAR
210,BAYRAM÷REN
211,«ERKEﬁ
212,ELD›VAN
213,ILGAZ
214,KIZILIRMAK
215,KORGUN
216,KURﬁUNLU
217,ORTA
218,ﬁABAN÷Z‹
219,YAPRAKLI
220,ALACA
221,BAYAT
222,BO–AZKALE
223,DODURGA
224,›SK›L›P
225,KARGI
226,LA«›N
227,MEC›T÷Z‹
228,O–UZLAR
229,ORTAK÷Y
230,OSMANCIK
231,SUNGURLU
232,U–URLUDA–
233,ACIPAYAM
234,BABADA–
235,BAKLAN
236,BEK›LL›
237,BEYA–A«
238,BOZKURT
239,BULDAN
240,«AL
241,«AMEL›
242,«ARDAK
243,«›VR›L
244,G‹NEY
245,HONAZ
246,KALE
247,MERKEZEFEND›
248,PAMUKKALE
249,SARAYK÷Y
250,SER›NH›SAR
251,TAVAS
252,BA–LAR
253,B›SM›L
254,«ERM›K
255,«INAR
256,«‹NG‹ﬁ
257,D›CLE
258,E–›L
259,ERGAN›
260,HAN›
261,HAZRO
262,KAYAPINAR
263,KOCAK÷Y
264,KULP
265,L›CE
266,S›LVAN
267,SUR
268,YEN›ﬁEH›R
269,ENEZ
270,HAVSA
271,›PSALA
272,KEﬁAN
273,LALAPAﬁA
274,MER›«
275,S‹LO–LU
276,UZUNK÷PR‹
277,A–IN
278,ALACAKAYA
279,ARICAK
280,BASK›L
281,KARAKO«AN
282,KEBAN
283,KOVANCILAR
284,MADEN
285,PALU
286,S›VR›CE
287,«AYIRLI
288,›L›«
289,KEMAH
290,KEMAL›YE
291,OTLUKBEL›
292,REFAH›YE
293,TERCAN
294,‹Z‹ML‹
295,AﬁKALE
296,AZ›Z›YE
297,«AT
298,HINIS
299,HORASAN
300,›SP›R
301,KARA«OBAN
302,KARAYAZI
303,K÷PR‹K÷Y
304,NARMAN
305,OLTU
306,OLUR
307,PALAND÷KEN
308,PAS›NLER
309,PAZARYOLU
310,ﬁENKAYA
311,TEKMAN
312,TORTUM
313,UZUNDERE
314,YAKUT›YE
315,ALPU
316,BEYL›KOVA
317,«›FTELER
318,G‹NY‹Z‹
319,HAN
320,›N÷N‹
321,MAHMUD›YE
322,M›HALGAZ›
323,M›HALI««IK
324,ODUNPAZARI
325,SARICAKAYA
326,SEY›TGAZ›
327,S›VR›H›SAR
328,TEPEBAﬁI
329,ARABAN
330,›SLAH›YE
331,KARKAMIﬁ
332,N›Z›P
333,NURDA–I
334,O–UZEL›
335,ﬁAH›NBEY
336,ﬁEH›TKAM›L
337,YAVUZEL›
338,ALUCRA
339,BULANCAK
340,«AMOLUK
341,«ANAK«I
342,DEREL›
343,DO–ANKENT
344,ESP›YE
345,EYNES›L
346,G÷RELE
347,G‹CE
348,KEﬁAP
349,P›RAZ›Z
350,ﬁEB›NKARAH›SAR
351,T›REBOLU
352,YA–LIDERE
353,KELK›T
354,K÷SE
355,K‹RT‹N
356,ﬁ›RAN
357,TORUL
358,«UKURCA
359,DEREC›K
360,ﬁEMD›NL›
361,Y‹KSEKOVA
362,ALTIN÷Z‹
363,ANTAKYA
364,ARSUZ
365,BELEN
366,DEFNE
367,D÷RTYOL
368,ERZ›N
369,HASSA
370,›SKENDERUN
371,KIRIKHAN
372,KUMLU
373,PAYAS
374,REYHANLI
375,SAMANDA–
376,YAYLADA–I
377,AKSU
378,ATABEY
379,E–›RD›R
380,GELENDOST
381,G÷NEN
382,KE«›BORLU
383,SEN›RKENT
384,S‹T«‹LER
385,ﬁARK›KARAA–A«
386,ULUBORLU
387,YALVA«
388,YEN›ﬁARBADEML›
389,AKDEN›Z
390,ANAMUR
391,AYDINCIK
392,BOZYAZI
393,«AMLIYAYLA
394,ERDEML›
395,G‹LNAR
396,MEZ›TL›
397,MUT
398,S›L›FKE
399,TARSUS
400,TOROSLAR
401,YEN›ﬁEH›R
402,ADALAR
403,ARNAVUTK÷Y
404,ATAﬁEH›R
405,AVCILAR
406,BA–CILAR
407,BAH«EL›EVLER
408,BAKIRK÷Y
409,BAﬁAKﬁEH›R
410,BAYRAMPAﬁA
411,BEﬁ›KTAﬁ
412,BEYKOZ
413,BEYL›KD‹Z‹
414,BEYO–LU
415,B‹Y‹K«EKMECE
416,«ATALCA
417,«EKMEK÷Y
418,ESENLER
419,ESENYURT
420,EY‹PSULTAN
421,FAT›H
422,GAZ›OSMANPAﬁA
423,G‹NG÷REN
424,KADIK÷Y
425,KA–ITHANE
426,KARTAL
427,K‹«‹K«EKMECE
428,MALTEPE
429,PEND›K
430,SANCAKTEPE
431,SARIYER
432,S›L›VR›
433,SULTANBEYL›
434,SULTANGAZ›
435,ﬁ›LE
436,ﬁ›ﬁL›
437,TUZLA
438,‹MRAN›YE
439,‹SK‹DAR
440,ZEYT›NBURNU
441,AL›A–A
442,BAL«OVA
443,BAYINDIR
444,BAYRAKLI
445,BERGAMA
446,BEYDA–
447,BORNOVA
448,BUCA
449,«EﬁME
450,«›–L›
451,D›K›L›
452,FO«A
453,GAZ›EM›R
454,G‹ZELBAH«E
455,KARABA–LAR
456,KARABURUN
457,KARﬁIYAKA
458,KEMALPAﬁA
459,KINIK
460,K›RAZ
461,KONAK
462,MENDERES
463,MENEMEN
464,NARLIDERE
465,÷DEM›ﬁ
466,SEFER›H›SAR
467,SEL«UK
468,T›RE
469,TORBALI
470,URLA
471,AKYAKA
472,ARPA«AY
473,D›GOR
474,KA–IZMAN
475,SARIKAMIﬁ
476,SEL›M
477,SUSUZ
478,ABANA
479,A–LI
480,ARA«
481,AZDAVAY
482,BOZKURT
483,C›DE
484,«ATALZEYT›N
485,DADAY
486,DEVREKAN›
487,DO–ANYURT
488,HAN÷N‹
489,›HSANGAZ›
490,›NEBOLU
491,K‹RE
492,PINARBAﬁI
493,SEYD›LER
494,ﬁENPAZAR
495,TAﬁK÷PR‹
496,TOSYA
497,AKKIﬁLA
498,B‹NYAN
499,DEVEL›
500,FELAH›YE
501,HACILAR
502,›NCESU
503,KOCAS›NAN
504,MEL›KGAZ›
505,÷ZVATAN
506,PINARBAﬁI
507,SARIO–LAN
508,SARIZ
509,TALAS
510,TOMARZA
511,YAHYALI
512,YEﬁ›LH›SAR
513,BABAESK›
514,DEM›RK÷Y
515,KOF«AZ
516,L‹LEBURGAZ
517,PEHL›VANK÷Y
518,PINARH›SAR
519,V›ZE
520,AK«AKENT
521,AKPINAR
522,BOZTEPE
523,«›«EKDA–I
524,KAMAN
525,MUCUR
526,BAﬁ›SKELE
527,«AYIROVA
528,DARICA
529,DER›NCE
530,D›LOVASI
531,GEBZE
532,G÷LC‹K
533,›ZM›T
534,KANDIRA
535,KARAM‹RSEL
536,KARTEPE
537,K÷RFEZ
538,AHIRLI
539,AK÷REN
540,AKﬁEH›R
541,ALTINEK›N
542,BEYﬁEH›R
543,BOZKIR
544,C›HANBEYL›
545,«ELT›K
546,«UMRA
547,DERBENT
548,DEREBUCAK
549,DO–ANH›SAR
