MAHALLE_KOY_NO,MAHALLE_KOY_ADI
1,BOZTAHTA
2,B‹Y‹KSOFULU
3,CER›TLER
4,DARILIK
5,DAYILAR
6,D÷LEKL›
7,E–NER
8,GERD›B›
9,G÷K«E
10,EBR›ﬁ›M
11,KABASAKAL
12,KARAHAN
13,KICAK
14,KIﬁLAK
15,KIZILDAM
16,K÷KEZ
17,K÷PR‹C‹K
18,K‹P
19,MADENL›
20,MAZILIK
21,TOPALLI
22,UZUNKUYU
23,POSYA–BASAN
24,G›RE–›YEN›K÷Y
25,YET›ML›
26,Y‹KSEK÷REN
27,AK÷REN
28,S›NANPAﬁA
29,BAﬁPINAR
30,AKPINAR
31,MANSURLU
32,ADATEPE
33,ALTIOCAK
34,BELED›YE EVLER›
35,B‹Y‹KKIRIM
36,C›VANTAYAK
37,CUMHUR›YET
38,EMEK
39,ESENTEPE
40,BURHAN›YE
41,FAT›H SULTAN MEHMET
42,GAZ› OSMAN PAﬁA
43,ﬁEH›T HACI ›BRAH›M
44,H‹RR›YET
45,›N÷N‹
46,›ST›KLAL
47,Z‹BEYDE HANIM
48,KELEMET›
49,KONAKO–LU
50,KORUKLU
51,K‹«‹KKIRIM
52,M›THATPAﬁA
53,MODERNEVLER
54,MURAD›YE
55,NAMIK KEMAL
56,ﬁAH›N ÷ZB›LEN
57,SARISAKAL
58,ATAT‹RK
59,ULUS
60,YARSUAT
61,AYTEMURO–LU
62,B‹Y‹KMANGIT
63,DORUK
64,HAMD›LL›
65,KURTKULA–I
66,KURTPINAR
67,MERC›MEK
68,MUSTAFABEYL›
69,SARIMAZI
70,K÷SREL›
71,B›RKENT
72,SA–KAYA
73,A–A«PINAR
74,ALTIKARA
75,AZ›ZL›
76,B‹Y‹KBURHAN›YE
77,«AKALDERE
78,«EVRETEPE
79,«›«EKL›
80,«›FTL›KLER
81,«OK«APINAR
82,DE–›RMENDERE
83,DOKUZTEKNE
84,DURHASANDEDE
85,DUTLUPINAR
86,ERENLER
87,G‹NDO–AN
88,VEYS›YE 
89,HAM›D›YE
90,HAM›TBEY
91,HAM›TBEYBUCA–I
92,›MRAN
93,MERC›N
94,›SALI
95,KILI«KAYA
96,KIZILDERE
97,K÷PR‹L‹
98,K÷RKUYU
99,KUZUCAK
100,K‹«‹KBURHAN›YE
101,K‹«‹KMANGIT
102,NARLIK
103,SA–IRLAR
104,SEL›M›YE
105,S›RKEL›
106,SO–UKPINAR
107,TOKTAMIﬁ
108,YELL›BEL
109,NAZIMBEY YEN›K÷Y
110,YILANKALE
111,ADAPINAR
112,ALTIG÷ZBEK›RL›
113,BURHANLI
114,CEYHANBEK›RL›
115,«ATAKLI
116,DA–ISTAN
117,DE–›RMENL›
118,D›K›L›TAﬁ
119,EK›NYAZI
120,ELMAG÷L‹
121,G‹NL‹CE
122,IRMAKLI
123,KARAKAYALI
124,TATARLI
125,YALAK
126,A–A«LI
127,AKDAM
128,BAﬁ÷REN
129,CAMUZA–ILI
130,«ATALH‹Y‹K
131,TUMLU
132,G‹M‹RD‹L‹
133,ISIRGANLI
134,›NCEYER
135,KIVRIKLI
136,SARIBAH«E
137,SOYSALLI
138,TATLIKUYU
139,‹«DUTYEﬁ›LOVA
140,YEﬁ›LBAH«E
141,YEﬁ›LDAM
142,AYDINLAR
143,BOTA
144,G÷KKUYU 
145,KOCATEPE 
146,SALBAﬁ ESENTEPE 
147,YEN›
148,G‹ZELYALI
149,YURT
150,KURTTEPE
151,KABASAKAL
152,KARAHAN
153,S÷–‹TL‹
154,D÷RTLER
155,÷RC‹N
156,MEM›ﬁL›
157,P›R›L›
158,KAﬁOBA
159,K‹«‹K«INAR
160,FADIL
161,BOZCALAR
162,HUZUREVLER›
163,BELED›YEEVLER›
164,KARSLILAR
165,MAHFESI–MAZ
166,TOROS
167,ESENTEPE
168,BEYAZEVLER
169,100.YIL
170,ﬁAMBAYADI
171,GAFFARUﬁA–I
172,KARACAO–LAN
173,S‹LEM›ﬁL›
174,AKKAYA
175,AKOLUK
176,BA–DATLI
177,BAH«EC›K
178,«ANDIRLAR
179,YEﬁ›LVAD›
180,DE–›RMENC›UﬁA–I
181,GED›KL›
182,G÷BELL›
183,G‹R‹MZE
184,G‹ZPINARI
185,HIDIRUﬁA–I
186,›NC›RC›
187,KAﬁALTI
188,KAYAD›B›
189,KIRIKUﬁA–I
190,KISACIKLI
191,KIZILYER
192,KO«YAZI
193,KONAKKURAN
194,OLUCAK
195,PAﬁALI
196,S‹PHANDERE
197,TENKERL›
198,TOKMANAKLI
199,TORTULU
200,U–URLUBA–
201,YAYLAPINAR
202,YEREBAKAN
203,MANSURLU 
204,«ONDU
205,KALEY‹Z‹
206,MUSALAR
207,ORMANCIK
208,ORTAK÷Y
209,ORU«LU
210,ﬁAHMURATLI
211,BELENK÷Y
212,G÷K«EL›
213,›SLAM
214,KAZANCI
215,KARACAUﬁA–I
216,KEKL›K«E
217,YEﬁ›LD‹ﬁM‹ﬁ
218,KOVUK«INAR
219,ADALET
220,CUMHUR›YET
221,H‹RR›YET
222,MENTEﬁ
223,TUNA
224,A–ZIKARACA
225,ALAYBEY›
226,AYVALI
227,CAM›L›
228,«÷RTEN
229,DANACILI
230,AL›LER
231,HACIHASANLI
232,KOYUNEV›
233,MALIHIDIRLI
234,OTLUK
235,SAYCA
236,SEV›N«L›
237,SOKUTAﬁ
238,UFACIK÷REN
239,ULU«INAR
240,‹«TEPE
241,YAZITEPE
242,SAYGE«›T
243,FAT›H
244,YEN›EVLER
245,PEKMEZC›
246,SARIMEHMETL›
247,AKTAﬁ
248,BAﬁKIF
249,G‹VEN«
250,KAPIKAYA
251,KARAPINAR
252,SAYPINAR
253,SELAMPINAR
254,«ATALAN
255,TOPKARALI
256,HACIMUSALI
257,TATIK
258,FETTAHLI
259,KUﬁCUSOFULU
260,SADIKAL›
261,BEK›RL›
262,÷MERL›
263,NUHLU
264,TORUNSOLAKLI
265,E–LENCE
266,T‹MENL›
267,K÷R‹KL‹
268,D÷ﬁEKEV›
269,KIRIKLI
270,KOCAVEL›LER
271,F›L›KL›
272,«ECEL›
273,AK«ALI
274,ALTINOVA
275,AﬁA–IBELEMED›K
276,AﬁA–IY÷R‹KLER
277,AYAKKIF
278,BARAKDA–I
279,BEYDEM›R
280,BOLACALI
281,BOZTAHTA
282,BUCAK
283,«AKALLI
284,«EVL›K
285,«OCUKLAR
286,«ORLU
287,«UKUR
288,DEM›R«›T
289,DURAK
290,EMELC›K
291,ETEKL›
292,G›LD›RL›
293,G÷KHASANLI
294,G‹L‹ﬁL‹
295,HACILI
296,KALEDA–I
297,KARAHASANLI
298,KARAKILI«
299,KARAKUYU
300,HACIKIRI
301,KUYUCU
302,KUZGUN
303,MARAﬁLI
304,MURT«UKURU
305,NERG›ZL›K
306,TOPAKTAﬁ
307,YAZIBAﬁI
308,ADALI
309,BEBEL›
310,«AKIR÷REN
311,«A–ﬁIRLI
312,«›MEL›
313,«UKURKAMIﬁ
314,DEVEL›÷REN
315,DOLAPLI
316,G÷LYAKA
317,HACIHASAN
318,HELVACI
319,›SAHACILI
320,KARATAﬁ
321,KES›K
322,KIRHASAN
323,KIZILTAHTA
324,K›REM›TL›
325,OYMAKLI
326,S›RKENL›
327,TERL›KS›Z
328,TOPRAKLI
329,YEM›ﬁL›
330,Y‹ZBAﬁI
331,ATAK÷Y
332,«AVUﬁLU
333,DAMLAPINAR
334,HASIRA–ACI
335,›NNAPLIH‹Y‹–‹
336,KAPI
337,KARAG÷«ER
338,MELETMEZ
339,SARIMSAKLI
340,TABAKLAR
341,KONAKLI
342,TUZKUYUSU
343,YASSI÷REN
344,YEN›MURAT
345,KARﬁIYAKA
346,KEMAL›YE
347,ORTA
348,BAH«E
349,TUZLA
350,YEN›
351,GAZ›
352,ASLANPAﬁA
353,CUMHUR›YET
354,HACIUﬁA–I
355,MAHMUTLU
356,ﬁEVK›YE
357,TAﬁ
358,TUFANPAﬁA
359,YARIMO–LU
360,ACARMANTAﬁ
361,AKARCA
362,AK«ALIUﬁA–I
363,AKDAM
364,AKKAYA
365,ALAPINAR
366,ANDIL
367,ARSLANLI
368,AYﬁEHOCA
369,BA–÷Z‹
370,BOZTAHTA
371,BUCAKK÷Y
372,BULDUKLU
373,«AMDERE
374,«AMLARCA
375,«ANDIK
376,«ELENUﬁA–I
377,«OBANPINARI
378,«OKAK
379,«UKUR÷REN
380,«ULLUUﬁA–I
381,«‹R‹KL‹
382,OR«AN
383,D›K›L›TAﬁ
384,D›LEKKAYA
385,DURALUﬁA–I
386,DURMUﬁLU
387,D‹ZA–A«
388,ERGENUﬁA–I
389,ESK›KABASAKAL
390,ESK›MANTAﬁ
391,FAYDALI
392,FERHATLI
393,GED›KL›
394,G÷K«EYOL
395,G÷KG÷Z
396,G‹NER›
397,HACIM›RZALI
398,HAMAMK÷Y
399,ILICAK÷Y
400,IﬁIKKAYA
401,IﬁIKLI
402,›DEMK÷Y
403,KABAKTEPE
404,KALKUMA«
405,KAPIKAYA
406,KARABUCAK
407,KARACA÷REN
408,KARAHAMZALI
409,KARANEB›L›
410,KEMER
411,KIBRISLAR
412,KIZILLAR
413,KIZLARSEK›S›
414,K÷SEL›
415,KUYTUCAK
416,KUYUBEL›
417,KUYULUK
418,MAHYALAR
419,MARANKE«›L›
420,M›NNETL›
421,ORU«LU
422,÷RENDERE
423,÷ZBAﬁI
424,PEKMEZC›
425,POSTKABASAKAL
426,SALMANLI
427,ﬁER›FL›
428,TUFANLI
429,TURGUTLU
430,VEL›CANLI
431,YANALER›K
432,YASSI«ALI
433,YEN›K÷Y
434,YUKARIKE«›L›
435,TEPEC›K÷REN
436,AYDIN
437,BA–TEPE
438,DAMYER›
439,DO–ANALANI
440,EN›Z«AKIRI
441,Y‹KSEK÷REN
442,ZERDAL›
443,T‹RKEL› 
444,TURUN«LU
445,A–LIBO–AZ
446,BA–LAR
447,TAVﬁANTEPE
448,KARACAO–LAN
449,«ANAKLI
450,VARSAKLAR
451,HACIBEYL›
452,G÷RBEYAZ
453,KAHVEL›
454,ALPU
455,BELEMED›K
456,ESK›KONACIK
457,FINDIKLI
458,G÷KBEZ
459,÷MERL›
460,YEN›KONACIK
461,KAMIﬁLI
462,Aﬁ«IBEK›RL›
463,«AMLIBEL
464,DA–D›B›
465,HAM›D›YE
466,KARAKIﬁLAK«I
467,YA–LITAﬁ
468,YAZICIK
469,YUKARIBELEMED›K
470,CUMHUR›YET
471,›ST›KLAL
472,ZAFER
473,KURTULUﬁ
474,AK«ATEK›R
475,YEﬁ›LBA–LAR
476,›SLAM
477,FAT›H
478,AKSAA–A«
479,AVCIPINARI
480,AYVACIK
481,BEYPINARI
482,NARLIDERE
483,CUMHURLU
484,«ATAK
485,«ERALAN
486,«ORAK
487,DE–›RMENC›UﬁA–I
488,EY‹PL‹
489,G÷KMENLER
490,G‹RLEﬁEN
491,HAL›LBEYL›
492,H›MMETL›
493,KAND›LL›
494,KARAKUYU
495,KIZILA–A«
